Date,meantemp,humidity,wind_speed,meanpressure
1/01/2013,10,84.5,0,10.15666667
2/01/2013,7.4,92,2.98,10.178
3/01/2013,7.166666667,87,4.633333333,10.18666667
4/01/2013,8.666666667,71.33333333,1.233333333,10.17166667
5/01/2013,6,86.83333333,3.7,10.165
6/01/2013,7,82.8,1.48,10.18
7/01/2013,7,78.6,6.3,10.2
8/01/2013,8.857142857,63.71428571,7.142857143,10.18714286
9/01/2013,14,51.25,12.5,10.17
10/01/2013,11,62,7.4,10.15666667
11/01/2013,15.71428571,51.28571429,10.57142857,10.16142857
12/01/2013,14,74,13.22857143,10.15571429
13/01/2013,15.83333333,75.16666667,4.633333333,10.13333333
14/01/2013,12.83333333,88.16666667,0.616666667,10.15166667
15/01/2013,14.71428571,71.85714286,0.528571429,10.15857143
16/01/2013,13.83333333,86.66666667,0,10.16666667
17/01/2013,16.5,80.83333333,5.25,10.15833333
18/01/2013,13.83333333,92.16666667,8.95,10.145
19/01/2013,12.5,76.66666667,5.883333333,10.21666667
20/01/2013,11.28571429,75.28571429,8.471428571,10.20285714
21/01/2013,11.2,77,2.22,10.21
22/01/2013,9.5,79.66666667,3.083333333,10.218
23/01/2013,14,60.16666667,4.016666667,10.205
24/01/2013,13.83333333,60.66666667,6.166666667,10.205
25/01/2013,12.25,67,5.55,10.2075
26/01/2013,12.66666667,64.16666667,6.8,10.19666667
27/01/2013,12.85714286,65.57142857,5.557142857,10.18142857
28/01/2013,14.83333333,56,3.7,10.17833333
29/01/2013,14.125,65.5,3.2375,10.16625
30/01/2013,14.71428571,70.42857143,1.057142857,10.17857143
31/01/2013,16.2,65.6,2.96,10.184
1/02/2013,16,73,2.22,10.16
2/02/2013,16.28571429,77.57142857,1.328571429,10.17142857
3/02/2013,18,65.57142857,1.857142857,10.15285714
4/02/2013,17.42857143,74.28571429,11.11428571,10.14571429
5/02/2013,16.625,92.375,9.725,10.16375
6/02/2013,16.66666667,71.33333333,8.633333333,10.18666667
7/02/2013,15.6,59.4,10.74,10.186
8/02/2013,14,70.42857143,9.257142857,10.17142857
9/02/2013,15.42857143,61.28571429,9.257142857,10.16857143
10/02/2013,15.25,71.5,3.475,10.17125
11/02/2013,15.875,70.5,5.325,10.165
12/02/2013,15.33333333,70.33333333,7.416666667,10.175
13/02/2013,16.28571429,70.14285714,6.085714286,10.16
14/02/2013,17.33333333,63.83333333,4.333333333,10.14166667
15/02/2013,19.16666667,65.33333333,10.18333333,10.11666667
16/02/2013,14.42857143,92.71428571,8.485714286,10.08
17/02/2013,13.66666667,90,0,10.12666667
18/02/2013,15.6,78.4,12.22,10.162
19/02/2013,15.85714286,82,5.814285714,10.15714286
20/02/2013,17.71428571,74.71428571,5.814285714,10.17
21/02/2013,20,67.28571429,6.614285714,10.15428571
22/02/2013,20.5,65.625,10.875,10.16
23/02/2013,17.42857143,74.85714286,9.257142857,10.17
24/02/2013,16.85714286,78.85714286,7.4,10.18857143
25/02/2013,16.875,72.875,4.6375,10.1825
26/02/2013,17.85714286,70,17.5875,10.15142857
27/02/2013,20.8,57.2,6.66,10.152
28/02/2013,19.42857143,52.85714286,12.95714286,10.17428571
1/03/2013,17.33333333,49.33333333,24.06666667,10.16333333
2/03/2013,19,54,15.725,10.1625
3/03/2013,19.33333333,62.83333333,8.633333333,10.16166667
4/03/2013,17.6,71,5.56,10.158
5/03/2013,20.875,61.875,4.1625,10.16375
6/03/2013,20.85714286,65.28571429,6.871428571,10.15714286
7/03/2013,23.42857143,57.14285714,8.728571429,10.15285714
8/03/2013,24.16666667,44.83333333,7.1,10.14833333
9/03/2013,25.42857143,49.71428571,5.285714286,10.09285714
10/03/2013,23.14285714,57.57142857,4.228571429,10.08
11/03/2013,24,66.33333333,0.933333333,10.11166667
12/03/2013,23.5,62.5,4.933333333,10.115
13/03/2013,21.5,70.5,5.55,10.09
14/03/2013,22.33333333,61.16666667,12.03333333,10.13166667
15/03/2013,24.16666667,45.83333333,7.716666667,10.16166667
16/03/2013,20.33333333,67.66666667,3.7,10.16166667
17/03/2013,22.66666667,58.66666667,8.95,10.15
18/03/2013,23.42857143,58.14285714,17.45714286,10.09428571
19/03/2013,22.5,73.66666667,10.48333333,10.11
20/03/2013,29.16666667,36.33333333,6.8,10.095
21/03/2013,23.83333333,58.5,10.5,10.08333333
22/03/2013,25.25,50.25,9.7125,10.06375
23/03/2013,27.375,50.125,9.95,10.07625
24/03/2013,27,48.75,10.8875,10.1025
25/03/2013,23.5,45.5,15.9625,10.10625
26/03/2013,24.14285714,44.57142857,12.95714286,10.08857143
27/03/2013,21,62,1.85,10.09
28/03/2013,22.42857143,62.71428571,7.414285714,10.09571429
29/03/2013,21.25,70.375,5.55,10.0975
30/03/2013,23.5,54.75,11.1125,10.08625
31/03/2013,23.2,58,6.66,10.086
1/04/2013,25.375,45.5,4.4,10.085
2/04/2013,25.16666667,51,8.65,10.095
3/04/2013,26.2,45.6,8.14,10.09
4/04/2013,24.6,41.8,11.12,10.078
5/04/2013,25.6,31,15.56,10.07
6/04/2013,25.85714286,29.85714286,11.9,10.06142857
7/04/2013,29.14285714,23.28571429,10.31428571,10.05
8/04/2013,28.71428571,33.85714286,5.3,10.06
9/04/2013,30.16666667,30.5,8.65,10.05333333
10/04/2013,30,28,6.1,10.06714286
11/04/2013,30,24.2,7.78,10.064
12/04/2013,28.85714286,32.57142857,6.342857143,10.07571429
13/04/2013,30.2,29.2,10,10.084
14/04/2013,28.25,39.375,6.4875,10.07
15/04/2013,28.25,41.375,6.25,10.03875
16/04/2013,32.125,24.625,10.425,10
17/04/2013,29.2,24.2,6.66,10.022
18/04/2013,30.28571429,30.28571429,4.757142857,10.02857143
19/04/2013,28.28571429,31.28571429,3.971428571,10.02571429
20/04/2013,30.625,29,7.6375,10.03375
21/04/2013,27.66666667,38.66666667,13.88333333,10.06833333
22/04/2013,27.375,45.375,7.65,10.1
23/04/2013,28.625,44.125,4.625,10.09875
24/04/2013,30.28571429,41.71428571,2.114285714,10.08571429
25/04/2013,31.14285714,38.28571429,3.7,10.07714286
26/04/2013,29.875,45.875,6.7125,10.08375
27/04/2013,31.14285714,31.42857143,13.48571429,10.07
28/04/2013,30.57142857,28,12.97142857,10.05428571
29/04/2013,32.125,26.375,7.875,10.04875
30/04/2013,31.14285714,32,7.928571429,10.04857143
1/05/2013,31.85714286,15.85714286,12.68571429,10.02833333
2/05/2013,29.83333333,22.16666667,11.43333333,10.012
3/05/2013,28.57142857,31.57142857,9,9.994285714
4/05/2013,32.85714286,31.42857143,2.914285714,9.99
5/05/2013,32.625,31.125,3.0125,10.00625
6/05/2013,32.75,39.25,3.7,10.01625
7/05/2013,32.875,33.25,7.175,10.02
8/05/2013,34.5,23,9.25,10.01166667
9/05/2013,34.28571429,26,8.985714286,10.00857143
10/05/2013,34,27.71428571,9.528571429,10.00142857
11/05/2013,30.75,30.375,14.8125,9.99875
12/05/2013,29.85714286,40.14285714,5.828571429,10.03714286
13/05/2013,31.71428571,34,3.971428571,10.03571429
14/05/2013,32.28571429,34.28571429,4.771428571,10.01571429
